Program Name, Schedule Start Date, Schedule Start Time, Schedule Duration
THE SECRET-DARE TO DREAM-PG,01/03/26,12:45:19 AM, 01:46:44
THE SECRET GARDEN-G,01/03/26,2:50:27 AM, 01:39:33
A BAD MOMS CHRISTMAS-R,01/03/26,4:50:19 AM, 01:44:02
3 GENERATIONS-PG-13,01/03/26,6:50:29 AM, 01:32:10
BOOK CLUB-PG-13,01/03/26,8:45:34 AM, 01:43:25
UNCHARTED-PG-13,01/03/26,10:45:51 AM, 01:51:14
TWO NIGHT STAND-R,01/03/26,12:50:01 PM, 01:25:50
MAYHEM-UA,01/03/26,2:30:34 PM, 01:27:58
THE PRINCE-R,01/03/26,4:15:03 PM, 01:30:19
HANNA-PG-13,01/03/26,6:00:45 PM, 01:46:35
THE COMMAND-PG-13,01/03/26,8:00:55 PM, 01:57:26
THE CALLER-R,01/03/26,10:15:07 PM, 01:31:39
THE SECRET GARDEN-G,02/03/26,12:05:05 AM, 01:39:33
MINAMATA-R,02/03/26,2:00:16 AM, 01:54:50
THE SENSE OF AN ENDING-PG-13,02/03/26,4:15:22 AM, 01:48:14
JOURNEY'S END-R,02/03/26,6:15:13 AM, 01:47:22
ALL NIGHTER-R,02/03/26,8:15:09 AM, 01:25:33
TERMINATOR SALVATION-PG-13,02/03/26,10:00:06 AM, 01:50:05
BREATHE IN-R,02/03/26,12:10:58 PM, 01:37:24
KRAVEN THE HUNTER-R,02/03/26,2:05:31 PM, 02:01:45
CMON CMON-R,02/03/26,4:25:50 PM, 01:49:12
SONG ONE-PG-13,02/03/26,6:30:49 PM, 01:27:56
30 MINUTES OR LESS-R,02/03/26,8:15:13 PM, 01:19:36
THE HUNTER'S PRAYER-R,02/03/26,9:50:10 PM, 01:30:47
THE ROAD WITHIN-R,02/03/26,11:40:39 PM, 01:41:18
ON CHESIL BEACH-R,03/03/26,1:40:06 AM, 01:49:27
ALL THE DEVIL'S MEN-R,03/03/26,3:45:41 AM, 01:39:40
NIGHTWATCHING-R,03/03/26,5:45:25 AM, 02:15:39
ORDINARY LOVE-R,03/03/26,8:15:28 AM, 01:31:14
THE HONEYMOON-R,03/03/26,10:00:11 AM, 01:37:05
BAD MOMS-R,03/03/26,11:55:14 AM, 01:40:17
ALL THE DEVIL'S MEN-R,03/03/26,1:50:16 PM, 01:39:40
MADE IN ITALY-R,03/03/26,3:50:12 PM, 01:33:27
GHOSTBUSTERS - FROZEN EMPIRE-PG-13,03/03/26,5:45:19 PM, 01:50:23
SNIPER  G.R.I.T. - GLOBAL RESPONSE & INTELLIGENCE TEAM-R,03/03/26,7:45:53 PM, 01:27:40
THE LAST FULL MEASURE-R,03/03/26,9:30:23 PM, 01:55:54
ROUGE AGENT-UA,03/03/26,11:45:52 PM, 01:55:45
THE SECRET-DARE TO DREAM-PG,04/03/26,2:00:21 AM, 01:46:44
MY SON-R,04/03/26,4:00:32 AM, 01:35:21
PLUS ONE-PG-15,04/03/26,5:50:49 AM, 01:38:36
LADY MACBETH-R,04/03/26,7:45:13 AM, 01:28:47
UNCHARTED-PG-13,04/03/26,9:30:09 AM, 01:51:14
PLAYING IT COOL-R,04/03/26,11:35:26 AM, 01:34:37
MY SON-R,04/03/26,1:30:51 PM, 01:35:21
DESTINATION WEDDING-R,04/03/26,3:20:27 PM, 01:26:38
